query_nr,query_text,model,P@10,P@10_partial,AP@10,NDCG@10,result_count
1,"to be, or not to be",bm25,0.2000,0.4500,0.7500,0.8916,10
1,"to be, or not to be",structured,0.0000,0.0000,0.0000,0.0000,10
2,English Grammar,bm25,0.2000,0.4500,0.1944,0.6523,10
2,English Grammar,structured,1.0000,1.0000,1.0000,1.0000,10
2,English Grammar,vsm,0.2000,0.3000,0.3611,0.5993,10
3,Philip K Dick,bm25,0.0000,0.0000,0.0000,0.0000,10
3,Philip K Dick,structured,1.0000,1.0000,1.0000,1.0000,10
3,Philip K Dick,vsm,0.2000,0.2000,0.3750,0.5803,10
4,Jabberwocky,bm25,0.6000,0.8000,0.9762,0.9971,10
4,Jabberwocky,vsm,0.7000,0.8500,0.9094,0.9859,10
5,Gutenberg,bm25,0.4000,0.5000,0.4512,0.7813,10
5,Gutenberg,structured,0.1000,0.5500,1.0000,1.0000,10
5,Gutenberg,vsm,0.0000,0.2500,0.0000,0.8753,10
6,Dornröschen,bm25,0.2000,0.5000,0.2667,0.8352,10
6,Dornröschen,vsm,0.1000,0.4500,0.1429,0.8345,10
