query_nr,model,result_count,min_score,p25,median,p75,max_score
1,structured,100,4.000000,4.000000,4.000000,6.000000,8.000000
1,vsm,0,,,,,
1,bm25,100,5.000000,5.000000,5.000000,5.000000,5.000000
2,structured,100,2.000000,2.000000,2.000000,2.000000,14.000000
2,vsm,91,0.034864,0.036610,0.041871,0.049791,0.118385
2,bm25,100,3.197162,3.222029,3.236912,3.258755,3.306138
3,structured,100,2.000000,2.000000,2.000000,3.000000,8.000000
3,vsm,100,0.045353,0.047383,0.051243,0.057263,0.124450
3,bm25,100,7.070529,7.179733,7.350014,7.624346,8.247995
4,structured,0,,,,,
4,vsm,43,0.005188,0.013572,0.018892,0.032786,0.108830
4,bm25,43,3.257991,6.295984,7.830187,10.751729,14.489210
5,structured,100,12.000000,12.000000,12.000000,13.000000,13.000000
5,vsm,100,0.077133,0.091421,0.118416,0.135277,0.173245
5,bm25,100,4.592889,4.644388,4.673649,4.738688,4.875822
6,structured,0,,,,,
6,vsm,81,0.002128,0.008340,0.012722,0.019128,0.073066
6,bm25,81,1.867332,9.949205,13.575142,18.128769,28.276087
