query_nr,pair,overlap_top10,jaccard_top10
1,structured_vs_vsm,0,0.0000
1,structured_vs_bm25,0,0.0000
1,vsm_vs_bm25,0,0.0000
2,structured_vs_vsm,1,0.0526
2,structured_vs_bm25,1,0.0526
2,vsm_vs_bm25,0,0.0000
3,structured_vs_vsm,2,0.1111
3,structured_vs_bm25,0,0.0000
3,vsm_vs_bm25,0,0.0000
4,structured_vs_vsm,0,0.0000
4,structured_vs_bm25,0,0.0000
4,vsm_vs_bm25,9,0.8182
5,structured_vs_vsm,0,0.0000
5,structured_vs_bm25,0,0.0000
5,vsm_vs_bm25,0,0.0000
6,structured_vs_vsm,0,0.0000
6,structured_vs_bm25,0,0.0000
6,vsm_vs_bm25,8,0.6667
